date,hierarchy,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_display_warner_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_bing_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_roku_spend_usd,paid_media_traditional_print_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_digital_audio_pandora_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_video_hulu_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_search_google_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_display_other_spend_usd,weather_population_weighted_average_precipitation_mm,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_sovi_ssd_percentage,macroeconomics_consumer_price_index_seasonally_adjusted,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,average_selling_price_relative_to_12_week_moving_average_ratio,bottler_promo_spend_usd,varying_intercept,holiday_effect
27-12-2021,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.10069852,0,0,0,0,0,-24643.64298,266303.8045,154631.4511,-110426.0842,-3718.423408,-138341.8784,-6709.412877,64931.46705,254825.412,-8574.153616,154925.0785,360979.2323,-31.86339364,151192.149,-226289.7201,0,4787108.329,1.42E-27
27-12-2021,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.527164319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5876.301731,-66642.80543,63179.65069,-25251.25226,-39598.84145,-28443.55409,-6953.115952,20090.03048,58019.94458,-201.8369661,48390.1809,108517.9564,-5840.521585,65057.03714,-70269.43082,0,1127119.166,5352.116589
03-01-2022,brand0,0,0,0,0,0,0,1170.858706,6184.134411,0,0,0,599.350784,1507.117319,0,0,0,0,0,0,151.3114547,89266.37249,10460.27247,0,0,1769.114783,0,0,5780.346965,0,2234.157014,0,8397.48661,0,0,14414.83205,-92959.07843,448045.6127,298135.3255,-281424.862,-267370.8695,-390057.9612,-19758.6597,125707.447,0,-14868.84977,363168.3958,780247.8894,-5534.471004,300728.0234,-101980.9866,2514767.408,8323876.452,-1.3E-12
03-01-2022,brand1,0,0,0,0,14995.93813,0,1871.811315,0,0,0,0,0,0,0,0,0,574.3746466,0,0,541.5667056,0,0,0,0,0,0,0,0,0,3041.453368,0,0,0,0,0,-25058.23626,568629.8758,109424.4224,-56963.27599,-1559.344902,-52132.54198,-872.1821563,40011.43895,7632.816548,-841.4181265,105506.9956,225035.6083,-0.470307515,110262.4541,-80274.59236,0,2249234.89,6.6E-16
03-01-2022,brand10,0,0,37.79958434,0,231.9271788,0,8.666131893,14.6060798,137.7648197,42.88902221,0,7.115743796,73.80081017,0,0,0,0,0,0,0.232639537,304.7520237,574.4839625,0,0,55.03702245,0,0,1238.212852,0,1.219210479,5.70709379,73.67947349,0,0,9.899677695,-11348.1396,73991.59881,38530.02415,-29259.81026,-8896.057932,-27352.60508,-290.1195496,16728.21923,11410.08371,0,50447.01525,100060.7021,-1294.813566,39258.55027,-23033.98861,23492.71517,965195.9336,2.01E-14
03-01-2022,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155986277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5174.977517,88588.0711,19056.67365,-12373.34768,-50513.83067,-10220.19102,-519.4679347,8627.513744,6924.707279,-71.61473676,26672.78777,49658.68008,-1231.974408,19432.34577,-12627.40912,11786.67688,460589.7849,3822.617922
03-01-2022,brand12,0,0,0,0,7280.517449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8218.459395,32406.9927,32392.94461,-21095.84801,-103894.4507,-16103.76244,-25.15490545,13506.91277,18903.9025,-10.53762146,38194.45785,78793.14305,-65.55460962,33579.01298,-14347.67738,9452.996025,846574.0285,59861.60061
03-01-2022,brand14,0,0,0,0,0,0,0,0,0,0,0,1426.457136,0,0,0,0,0,0,0,0,0,0,0,0,0,218.6216663,0,0,0,0,0,0,0,0,974.8034458,-22166.0731,13582.62807,89565.29244,-54895.28132,112284.3966,-51019.94601,-3128.069385,36522.27355,18482.0962,-0.178514525,107154.4137,226877.5232,-2743.82632,91141.62168,-56165.52284,19442.40521,2439202.745,1.22E-15
03-01-2022,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595238013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18787.05635,243092.9993,67194.89821,-51511.73228,201118.2536,-42337.98744,-891.0316745,30753.9826,63757.70524,0,96062.81529,167918.0606,-1842.971542,64708.92356,-97048.52064,103051.8254,1566199.832,-250.4820229
03-01-2022,brand18,0,0,0,0,0,0,0,0,0,0,0,677.4465685,0,0,0,0,0,947.7085395,0,0,0,0,0,0,0,46.85379364,0,0,0,0,0,0,0,0,31644.23004,-11253.73784,88455.98557,53147.2851,-28381.28942,-27499.79619,-27361.26583,-1605.418554,20433.15262,40606.10059,0,48565.25385,105524.4053,-1179.393515,54652.1041,-50625.87418,0,1791795.886,15903.8308
