date,hierarchy,paid_media_digital_video_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_digital_search_bing_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_display_warner_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_video_twitch_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_hulu_spend_usd,paid_media_traditional_cinema_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_video_the_trade_desk_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_roku_spend_usd,paid_media_digital_audio_pandora_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_traditional_ooh_spend_usd,competitor_paid_media_digital_social_spend_usd,commercial_execution_socvi_nartd_percentage,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_internet_spend_usd,bottler_promo_spend_usd,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,weather_population_weighted_average_temperature_celsius,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_paid_media_traditional_television_spend_usd,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,weather_population_weighted_average_precipitation_mm,macroeconomics_yoy_percentage_change_in_real_private_consumption,average_selling_price_relative_to_12_week_moving_average_ratio,varying_intercept,holiday_effect
03-01-2022,brand10,2.51102E-05,2.00552E-05,0,0,0,5.67336E-05,0,4.49008E-05,0,5.67509E-05,6.11604E-06,0,6.45494E-06,0,0,4.34245E-05,0,0,0,1.29557E-06,3.16018E-05,0,0,2.84774E-06,2.33055E-05,1.14091E-05,7.37654E-06,3.8548E-07,0,0,0,0,7.33859E-06,0,0.000144467,-0.00011366,0.00156985,0.001884392,-1.35149E-05,0.000284203,0.001021114,0.0017726,-0.003283285,0.001899897,-0.002363084,-0.000160787,0,0.008190551,-0.000654027,0.001417389,-0.003094503,0.01646047,1.64008E-09
03-01-2022,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239042,0,0,0,0,0,0,0,0,0,-0.000239042,0
03-01-2022,brand12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001404,0,0,0,0,0,0,0,0,0,-0.0001404,0
03-01-2022,brand14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18733E-06,0,9.42104E-06,0,0,0,0,0,0,0,0,1.83158E-05,0,0,-0.000205731,0.002618734,0.003768819,-0.000127513,0.000200477,0.000185881,0.003305868,-0.004173943,0.003705749,-0.003339981,0.001584009,-2.99531E-08,0.012712443,-0.001150637,0.004926314,-0.00407673,0.098524638,1.13584E-12
03-01-2022,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77942E-08,0,0,0,0,0,0,0,-0.00013957,0.002177984,0.002923131,-3.51726E-05,0.001136156,0.003066002,0.004016752,-0.003842573,0.00289401,-0.002856737,0.002795198,0,0.011745273,-0.000979888,0.002307831,-0.003788771,0.043195538,1.66235E-10
03-01-2022,brand18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07821E-06,0,3.55932E-05,0,0,0,0,0,0,3.91146E-05,0,2.62375E-05,0,0,-0.000178934,0.003187843,0.004320078,-0.000140645,0,0.00248095,0.003824192,-0.004996479,0.004257805,-0.004198993,-0.000637404,0,0.017968192,-0.001253378,0.004385662,-0.004774367,0.067752749,2.98382E-12
03-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14323E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.00238E-05,0.00154377,0.002216798,-0.000125457,0.00172646,0.00057364,0.002374868,-0.002746763,0.002231646,-0.003125135,-0.000345093,-0.000679872,0.012284587,-0.000684468,0.001603808,-0.002793877,0.026776608,1.73815E-14
03-01-2022,brand3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002463435,0.003123728,0,0.001413715,0,0.002988262,-0.005374145,0.003128691,0,0.010464152,0,0.011842736,-0.001065079,0.002433966,-0.004620421,0.050627648,2.21953E-13
03-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,6.05525E-05,0,0,0,0,0,0,0,0,1.41778E-06,0,0,0,0,0,0,0,2.62984E-06,0,0,0,0,0,0,0,-2.50298E-08,0.001977867,0.00252655,-1.41295E-05,0.002043678,0.001189131,0.003259844,-0.003932861,0.00251413,-0.00408241,-0.000409482,-0.00069879,0.015250713,-0.000822697,0.00174068,-0.003797367,0.029769389,4.51165E-13
03-01-2022,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10484E-07,0,0,0,0,0,0,0,-3.21618E-05,0.001748755,0.00218434,-1.81995E-05,0.000293964,-0.001039655,0.002194729,-0.002258996,0.00216519,-0.002259408,-0.000907585,-2.9113E-06,0.007308445,-0.000604023,0.00169246,-0.002259543,0.024944741,1.88302E-09
10-01-2022,brand0,0.000175088,0,0,0,0,0,0,0.000290936,0,0,3.81728E-05,0,0,0,0,9.63659E-05,0,0,0,5.73574E-06,7.40226E-05,0,0,0.000206584,7.53597E-05,0,0.000129642,1.21249E-05,0,0,0,0,2.55701E-05,0,0.000147264,-0.000217277,0.004812035,0.006129908,-0.000364368,0.012836017,0.002432244,0.002116597,-0.009752272,0.00619795,-0.010393285,-0.000813642,-0.004951019,0.035410295,-0.001086922,0.004209276,-0.00908771,0.080444523,1.7462E-09
10-01-2022,brand1,0,0,0,0,0,0,0,0,0,8.61168E-05,1.54784E-05,0,0,0,0,0,0,0,0,5.29316E-06,0,0,0,0,0,0,0,7.63591E-06,0,0,0,0,0,9.00678E-06,0,-1.80843E-08,0.001579942,0.002062187,-1.79922E-05,0,0.00323278,0.000635056,-0.002347192,0.00205725,-0.001851334,0.000184233,-0.00013143,0.010101724,-0.000333326,0.001578422,-0.00227757,0.024734272,4.53174E-07
10-01-2022,brand10,2.68674E-05,2.14615E-05,0,0,0,1.42439E-05,0,5.108E-05,0,4.43678E-05,3.05235E-06,0,6.87647E-06,0,0,4.54707E-05,0,0,0,3.50956E-07,3.22659E-05,0,0,3.1121E-06,2.46139E-05,1.21776E-05,7.87606E-06,2.43232E-07,0,0,0,0,7.83044E-06,0,0.00011186,-9.42881E-05,0.001302291,0.001563224,-1.12115E-05,0.000282075,0.000907166,0.00057827,-0.002723695,0.001576086,-0.002001322,-0.000262336,0,0.006794586,-0.000302289,0.001175815,-0.002545153,0.013786331,8.92949E-07
10-01-2022,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42328E-08,0,0,0,0,0,0,0,-0.000128312,0.000952648,0.001031217,-2.99797E-05,0.000199617,0.001151903,0.000413323,-0.001789338,0.00104555,-0.001177981,-0.00257162,-2.01558E-05,0.004673865,-0.000205313,0.000642991,-0.001754407,-0.000226571,2.69281E-05
10-01-2022,brand12,0,0,0,0,0,0,0,0,0,2.0902E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49081E-06,0.000569073,0.000762024,-5.46745E-07,5.74048E-05,0.000196271,0.00023407,-0.000741748,0.000750638,-0.000506944,-0.001053651,-8.82596E-07,0.002216196,-0.000115259,0.00064639,-0.000723149,0.007635978,4.01054E-06
10-01-2022,brand14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91106E-06,0,7.38429E-06,0,0,0,0,0,0,0,0,1.45619E-05,0,0,-0.000177397,0.002258062,0.003249749,-0.000109951,0.000211398,0.000393017,0.001162592,-0.003599075,0.003195365,-0.002879973,0.001677924,-4.05051E-09,0.010961589,-0.000552789,0.004247825,-0.003435214,0.08383056,2.60245E-08
