date,hierarchy,owned_media_digital_social_instagram_impressions,paid_media_digital_video_other_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_display_google_display_network_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_youtube_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_netflix_spend_usd,owned_media_digital_video_youtube_views,paid_media_traditional_fixed_and_flex_television_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_traditional_print_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_twitch_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_other_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_retail_spend_usd,paid_media_digital_display_google_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_traditional_ooh_spend_usd,weather_population_weighted_average_temperature_celsius,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_precipitation_mm,commercial_execution_sovi_ssd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_relative_to_12_week_moving_average_ratio,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_internet_spend_usd,competitor_paid_media_digital_social_spend_usd,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_socvi_nartd_percentage,weather_population_weighted_average_temperature_celsius_squared,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,varying_intercept,holiday_effect
2022-01-03,brand19,0.0,1010.4731848634698,0.0,0.0,0.0,0.0,24.468924835453272,0.0,717.2042699193632,37.11738961867848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.6588682014784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3283.558290638148,1991.3130340844252,0.0,57050.24076658697,0.0,-38834.57188123419,45814.621484085044,27083.18395561495,21547.994108373125,-104491.06464809558,-16438.428613970187,22895.26386458261,0.0,0.0,6924.705129997573,50305.23591118435,130172.12363481853,-62385.21312529384,50992.57018086661,800469.4438695151,90690.90140080769
2022-01-03,brand2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163693.29793423048,0.0,-148097.8932798985,155897.92574047472,40379.23681114783,-12630.3779075508,-94319.41290221545,-46265.13653113748,61313.11557218329,0.0,0.0,80956.30972803576,136182.20984960668,325875.017909587,-193084.94858506645,106137.72164676474,1769547.3946814719,190170.38258703364
2022-01-03,brand4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.95878898255802,0.0,-70.92244155818156,117.17232644356247,19.194038022793094,-199.15121399364682,-118.09577868404284,-49.64625797807369,65.45071760130074,0.0,0.0,-99.46502691198256,121.90671397009342,334.57108890154,-131.2192484569825,143.00382152050287,1048.6017589601038,76.04071318045577
2022-01-03,brand8,0.0,4282.629732937468,0.0,0.0,0.0,0.0,0.0,0.0,4986.959028291806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4337.657748963822,0.0,0.0,0.0,0.0,0.0,0.0,15136.919496873801,0.0,0.0,0.0,0.0,3885.3598876306814,14623.087065964988,3273.4011169288,228208.96020294074,-65505.93646377908,-128630.64879890512,209545.85397125554,121193.11294539657,-108886.15309176348,-190663.6464958664,-65768.11152665649,93552.72082698664,0.0,0.0,27319.51845225496,194667.64381882295,430252.0276995373,-245526.65772270013,211530.98297555503,2812038.1229551714,53977.39617415912
2022-01-10,brand0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32686.85413413544,0.0,0.14734803816404837,0.0,0.0,0.0,2499.679464987386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419685.0646751858,-460392.35557088756,-785652.3014175324,618603.4414722017,1060897.6270895507,-625484.3233754915,-1317323.8064419061,-495842.25294557307,546192.9882376232,0.0,0.0,554974.8122079298,1194831.744648212,2739582.9950703233,-1561327.949537079,1033936.3862183677,17390461.259726204,3749.588995711818
2022-01-10,brand1,0.0,41.25455292933919,0.0,0.0,0.0,0.0,0.0,0.0,82.71900087051125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.95193449198283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.96589552571004,0.0,3919.328352752862,0.0,-2066.315415857746,3926.9644561688874,269.79470285909474,-7257.747907167037,-4418.148766307122,-1213.3202855873678,1878.172915492335,0.0,0.0,-3174.5392068356296,3946.432243207807,9307.587304505169,-3760.159844083324,3594.3687534904584,38667.91447389909,26.976839644974547
2022-01-10,brand13,30.973824305168304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3214772197487805,0.0,0.0,0.0,0.0,0.0,3.9130600496784864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9760.961840189,0.0,-7275.428068976411,5856.688242044639,3777.6793450298137,-3835.995875788505,-6498.213573818561,-3198.90361505864,4585.136100642983,0.0,0.0,8949.27835758499,9599.68795246105,22549.528095133806,-14184.906189553041,8975.9776135013,125540.8258636589,703.4973900496664
2022-01-10,brand19,0.0,1190.1793463512017,0.0,0.0,0.0,0.0,31.25246526425681,0.0,828.3527991996249,2.716859814181552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.9269522382044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3635.470893254195,2283.0384917033475,0.0,59954.093471856846,0.0,-34686.282393227666,47449.15771991309,35530.44340150349,22316.76564982916,-108219.01057354415,-20243.12834828903,23712.102183949817,0.0,0.0,7171.759041843974,52099.984580607976,128805.55407616496,-64610.94124723349,52811.84099482684,828051.7068764927,50466.81675748045
2022-01-10,brand2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157008.96138582885,0.0,-129244.42097390202,157756.92500635204,44656.74034998077,-12780.988399296386,-95444.12138380928,-49413.03244431285,62044.241636214996,0.0,0.0,81921.67036152545,137806.10976317842,315058.614630602,-195387.38318107987,107403.35713027779,1815250.655008377,139117.51436473048
2022-01-10,brand4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.8236651482319,0.0,-64.60328005348349,123.76023189920998,24.062218720251295,-210.34830642143535,-124.73560438602962,-60.83406715866269,69.13062353684893,0.0,0.0,-105.0573558630954,128.76080597645526,337.6266089095726,-138.59692908374808,151.0440788454877,1080.152328370999,30.214981559397955
