date,hierarchy,paid_media_digital_audio_spotify_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_search_bing_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_traditional_fixed_television_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_mobile_other_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_retail_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_audio_pandora_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_video_hulu_spend_usd,paid_media_digital_audio_other_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_roku_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_video_connected_ott_spend_usd,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_display_warner_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_social_tiktok_spend_usd,bottler_promo_spend_usd,weather_population_weighted_average_temperature_celsius_squared,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_social_spend_usd,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,weather_population_weighted_average_temperature_celsius,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,average_selling_price_relative_to_12_week_moving_average_ratio,commercial_execution_socvi_nartd_percentage,weather_population_weighted_average_precipitation_mm,competitor_paid_media_digital_internet_spend_usd,macroeconomics_consumer_price_index_seasonally_adjusted,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,commercial_execution_total_ko_cde,varying_intercept,holiday_effect
2021-12-27,brand0,0.0,0.0,0.0,23.069551685566054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.260666199057,0.0,0.0,0.0,0.0,0.0,39311.50170975261,0.0,0.0,0.0,4212.196871404182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84365.87776820528,188572.95617455148,-1088.692509408164,-794111.4724297982,-53772.85851613299,458814.8908959874,987044.9026896139,-1304546.0381637653,89544.81767491666,-104071.48305741642,-4687.473428884841,-896106.9665744493,-274889.2353200079,456459.32179724955,1361636.0777323,232057.09967148726,13915375.16300311,-14268.916206603768
2021-12-27,brand1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.11372467478265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8343.381666921916,0.0,0.0,12005.665315529925,50701.77096666395,-0.12251175070661369,-157026.13100975126,-15415.245043685933,102285.79146290566,355067.97437098285,-294591.2193919219,23874.84343487888,-26036.955968215112,-96.75243812731524,-184947.67881772856,-228.19880396993912,116290.88683191984,274038.05873503047,62218.413224061376,3162515.6442515817,-1.4536075664770805e-26
2021-12-27,brand10,0.0,283.1111410666663,0.0,0.1033837774966048,0.0,0.0,0.0,0.0,0.0,0.0,0.7289855848860628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.30285084336039,0.0,0.0,25472.20944246079,18178.413062531028,-281.1890277013521,-44661.478773157025,-6532.026516525927,51826.12775075647,116609.19515361064,-50045.030162656854,8673.68789878105,-10987.708069890643,-48.95966873338937,-66164.31627063749,0.0,43259.61539245249,29037.631517989328,22543.91389084109,1069223.4240186075,-2.836380353112806e-25
2021-12-27,brand11,0.0,0.0,0.0,1.0347264349477956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12011.477590297374,8476.473946189844,-176.40057354045032,-17617.054031828422,-61281.855618031106,23132.029965713587,126906.0357504631,-26604.389543967234,4227.546191114966,-4658.536167061015,-81.97991859110597,-27433.026883474624,-69.3534761703258,19468.367543439927,10947.339206247503,10552.58189680771,487276.84139595536,2.2980272625999393e-29
2021-12-27,brand12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761.1749518096665,0.0,0.0,10896.244940903629,13965.315998126378,-13.135677944360083,-24144.554740073152,-74189.2191727547,35154.20757405677,59875.21464448449,-13750.80854807714,6660.642083654682,-7383.286754790474,-4.277706546954675,-32039.735162540394,-13.001723299651072,33086.83371087777,18826.908626925433,17450.688186436586,910689.0520494361,15463.99271931575
2021-12-27,brand14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.96552248092058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.341033002759076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.67948621764026,0.0,0.0,0.0,0.0,0.0,19366.188850527076,33554.002645057066,-544.2145286995919,-63651.8424488034,138705.70685287594,77010.60461101674,-144886.39064153135,-51921.853622826864,15628.507558593254,-16423.71405877228,-445.9831860471105,-74758.66205118084,-2.621903088889358,81664.33313547092,40431.047751937,42008.72463084583,2231237.6163629256,1.2244890280559205e-25
2021-12-27,brand15,0.0,0.0,0.0,1.4041457897760115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56989.77867438828,30005.81228693536,-101.20100363872832,-112888.08324319262,214983.75771716892,90400.58701124831,427024.4616955945,-140796.4415072347,15450.373800756528,-17237.348508862622,-139.93383488366916,-236999.43835517208,0.0,69012.7081831482,81281.55808605108,37506.18054689504,1752102.187305009,5.2968453257191096e-27
2021-12-27,brand18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.209267222556,0.0,0.0,0.0,70.44129680205707,0.0,0.0,0.0,0.0,14.95861348376892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.4730085614168,0.0,0.0,0.0,0.0,0.0,17659.706707852998,34312.38342359831,-516.3524685992114,-67940.95479751677,73343.30053874351,70091.05812633462,250151.12874666337,-108937.8358193211,16496.603805617626,-16595.463990830962,-462.61584433936144,-75182.47667357474,0.0,82254.56966758083,93843.87972773169,43424.234299430056,2805809.77229102,7586.034073540631
2021-12-27,brand19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30315.66136896365,85373.95990903843,-300.5443869782425,-309525.5834790151,-19950.217522168605,188848.94152807363,288501.6339818843,-691193.8538966719,40959.95605057498,-45691.34153054822,-2194.7201968329823,-339328.975471361,-124349.5034073195,201047.68767904106,698877.7106002863,105626.58557861339,6306982.943359266,-1972.225164846563
2021-12-27,brand3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68428.75435359159,54961.64542756945,0.0,0.0,624401.0503444409,115411.6264605595,0.0,-213183.9622984419,26613.47616130365,-28022.376410427845,0.0,-317406.49089365994,0.0,119009.42009408468,213486.21053060528,69030.96786443314,3499939.4923659405,2.461383046687514e-28
