date,hierarchy,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_other_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_video_twitch_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_retail_spend_usd,paid_media_digital_video_netflix_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_video_other_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_video_connected_ott_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_meta_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_display_google_spend_usd,weather_population_weighted_average_temperature_celsius,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,bottler_promo_spend_usd,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,average_selling_price_relative_to_12_week_moving_average_ratio,average_selling_price_vs_competitor_average_selling_price_ratio,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,weather_population_weighted_average_precipitation_mm,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_social_spend_usd,varying_intercept,holiday_effect
03-01-2022,brand7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002154248,9.22867E-05,-0.002898269,0,0,0.00153002,-0.001576443,0.000343505,0.005957642,-0.002022327,0.00145571,-7.8471E-05,0.000878621,-0.000930115,0.001426585,0,0.01862517,0.001007108
03-01-2022,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002353117,0.000644386,-0.002220596,0,0,0.001517988,-0.001559115,-0.000115032,0.006033098,-0.001788526,0.001419989,0,0.000806091,-0.000793463,0.001386015,0,0.017275737,0.001005582
10-01-2022,brand0,0,0,0,0,0,0,0,0,5.1596E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005876471,0.000318118,-0.013873309,0,0,0.008389812,-0.007575281,-0.003630439,0.036722286,-0.009045612,0.00786813,0,0.004400195,-0.003199671,0.007711496,0,0.094256922,6.21219E-10
10-01-2022,brand1,0,0,0,0,0,0,0,0,2.59858E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002822789,7.37074E-05,-0.008012519,0.001457284,0,0.004039305,-0.004686061,-0.000751005,0.017849003,-0.005237197,0.003826208,0,0.00221131,-0.001895657,0.003771633,0,0.046177328,5.44518E-06
10-01-2022,brand10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448811,-0.000218043,-0.001070243,0,0,0.000715229,-0.000703571,-0.000569913,0.001924894,-0.000902376,0.000674451,0,0.000421985,-0.000310336,0.000670155,0,0.008387725,0.000281133
10-01-2022,brand17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001874074,0.004194345,-0.002831199,0,0,0.002632221,-0.003912417,0.001094417,0.009069692,-0.004310384,0.002478486,0,0.001463683,-0.001182285,0.002417914,0,0.019031346,1.51607E-05
10-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154792,-0.000656346,-0.003554024,0,0,0.002489694,-0.002267097,5.24923E-05,0.006645117,-0.002889528,0.002297589,0,0.001516375,-0.00100247,0.002291335,0,0.032417218,6.07654E-06
10-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003159705,0.000182456,-0.010114618,0.002548757,0,0.005406499,-0.005392587,-0.001753799,0.022998488,-0.006727199,0.005176434,0,0.003227968,-0.002157971,0.005129395,0,0.067717171,9.90986E-08
10-01-2022,brand5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-2022,brand7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000963823,0.000108198,-0.003147018,0,0,0.001661337,-0.00174133,0.000367694,0.006468967,-0.002195897,0.001580649,-0.00023536,0.00095403,-0.000755634,0.001549024,0,0.020083915,9.45805E-07
